europeana_id,value,upvotes,downvotes,recommendation
KSU18,windows,5,0,accept
KSU18,wooden frame,16,0,accept
KSU19,birch tree,6,0,accept
KSU19,black hat,22,0,accept
KSU19,blue and yellow sky,6,0,accept
KSU19,bucket,5,0,accept
KSU19,dark blue military uniform,28,0,accept
KSU19,girl,30,0,accept
KSU19,kozak,28,0,accept
KSU19,kozak with a girl,27,0,accept
KSU19,man,31,0,accept
KSU19,red and blue embroidered dress,24,0,accept
KSU19,red saddle,25,0,accept
KSU19,rural landscape,26,0,accept
KSU19,small wooden bucket,22,0,accept
KSU19,three poplar trees,4,2,accept
KSU19,two houses,5,1,accept
KSU19,visible signs of age and wear,12,8,accept
KSU19,well crane,6,0,accept
KSU19,white horse,28,0,accept
KSU19,windmill,5,0,accept
KSU19,woman,21,1,accept
KSU2,Birds,10,0,accept
KSU2,Field,8,0,accept
KSU2,Ox,6,0,accept
KSU2,Oxen,3,0,accept
KSU2,Sky with clouds,9,0,accept
KSU2,Trade,4,0,accept
KSU2,Trading,5,0,accept
KSU2,Wagon,5,0,accept
KSU2,Yoke,4,0,accept
KSU2,bags,9,0,accept
KSU2,bundle of hay or straw,7,19,reject
KSU2,canvas,17,4,accept
KSU2,cart,25,6,accept
KSU2,chumak,32,0,accept
KSU2,cows,16,9,accept
KSU2,crows,10,0,accept
KSU2,man,29,0,accept
KSU2,oil bucket,5,0,accept
KSU2,oxen,11,0,accept
KSU2,painting,26,0,accept
KSU2,relaxing man,1,0,accept
KSU2,signs of age and wear,23,0,accept
KSU2,traditional attire,23,4,accept
KSU2,wildflowers,1,0,accept
KSU2,wooden bucket,1,0,accept
KSU20,A pair of vegetables,10,3,accept
KSU20,Bushes,13,0,accept
KSU20,Ksonz Hryhorii,10,0,accept
KSU20,Nature Morte,7,1,accept
KSU20,One pear,3,2,accept
KSU20,Sky with clouds,15,0,accept
KSU20,basket,32,0,accept
KSU20,bowl,20,5,accept
KSU20,damage,20,1,accept
KSU20,distant wood,6,0,accept
KSU20,grapes,29,0,accept
KSU20,leafy plant,21,0,accept
KSU20,pears,32,1,accept
KSU20,slice,16,3,accept
KSU20,still life,31,0,accept
KSU20,visible cracks,4,14,reject
KSU20,watermelon,35,0,accept
KSU21,Dirt road,8,0,accept
KSU21,Field,8,0,accept
KSU21,Houses,8,0,accept
KSU21,Oxens,8,0,accept
KSU21,Trees,8,0,accept
KSU21,Wooden fence,8,0,accept
KSU21,bag,4,0,accept
KSU21,bundle,2,15,reject
KSU21,cart,2,12,reject
KSU21,cracks,2,13,reject
KSU21,distant willage,4,0,accept
KSU21,freshly plowed field,4,0,accept
KSU21,hills,4,0,accept
KSU21,man,24,0,accept
KSU21,oil painting,7,8,reject
KSU21,once upon a time on a field,20,2,accept
KSU21,other figures,3,11,reject
KSU21,pale sky,4,0,accept
KSU21,planting,8,0,accept
KSU21,plow,26,0,accept
KSU21,rural landscape,28,0,accept
KSU21,thatched hat,4,0,accept
KSU21,trousers,18,0,accept
KSU21,two oxen,27,0,accept
KSU21,wear,14,0,accept
KSU21,white shirt,24,0,accept
KSU21,yoke,4,0,accept
KSU22,a girl,26,0,accept
KSU22,birch trees,4,0,accept
KSU22,cracking,4,11,reject
KSU22,dark vest,17,4,accept
KSU22,distant wood,4,0,accept
KSU22,floral embroidery,30,0,accept
KSU22,girl,23,0,accept
KSU22,meadow,4,0,accept
KSU22,multi-layered necklace,28,0,accept
KSU22,orange beads,21,0,accept
KSU22,peeling paint,10,8,accept
KSU22,pink evening sky,4,0,accept
KSU22,pink ribbon,4,0,accept
KSU22,portrait,27,0,accept
KSU22,portrait of a girl,26,0,accept
KSU22,red beads,22,0,accept
KSU22,traditional attire,28,0,accept
KSU22,white beads,17,0,accept
KSU22,white blouse,23,0,accept
KSU22,woman,21,0,accept
KSU22,woman in traditional costume,2,0,accept
KSU22,year 1931,4,0,accept
KSU23,Brown jacket,12,0,accept
KSU23,Taras Shevchenko,12,0,accept
KSU23,black coat collar,6,0,accept
KSU23,brown background,7,0,accept
KSU23,brown shirt,8,9,reject
KSU23,cracks,3,15,reject
KSU23,dark coat,33,0,accept
KSU23,dark eyes,8,0,accept
KSU23,dark fur-lined hat,24,0,accept
KSU23,dark tie,5,1,accept
KSU23,man,26,0,accept
KSU23,mustache,31,0,accept
KSU23,portrait,31,0,accept
KSU23,portrait of taras shevchenko,26,0,accept
KSU23,rough texture,15,1,accept
KSU23,signs of age and wear,21,0,accept
KSU23,taras shevchenko,31,2,accept
KSU24,Dirt road,9,0,accept
KSU24,Kutsenko I.,8,0,accept
KSU24,Meadow,8,0,accept
KSU24,Sky,10,0,accept
KSU24,a village,30,0,accept
KSU24,birch tree,24,0,accept
KSU24,clouds,5,0,accept
KSU24,cracks,2,15,reject
KSU24,dirt path,24,0,accept
KSU24,doors,5,0,accept
KSU24,flowering plants,5,0,accept
KSU24,other trees,18,0,accept
KSU24,paint wear,3,11,reject
KSU24,painting,22,0,accept
KSU24,rural landscape,29,0,accept
KSU24,signature,21,0,accept
KSU24,signs of age,17,0,accept
KSU24,small figure,23,0,accept
KSU24,thatched roof,5,0,accept
KSU24,watermark,3,16,reject
KSU24,windows,5,0,accept
KSU25,"Geese, child",11,0,accept
KSU25,bucket,31,0,accept
KSU25,canvas,12,12,tie
KSU25,chickens,27,0,accept
KSU25,chimney,3,0,accept
KSU25,cracks,7,15,reject
KSU25,distant wood,4,0,accept
KSU25,green grass,4,0,accept
KSU25,houses,33,0,accept
KSU25,near the well,29,1,accept
KSU25,oil painting,12,12,tie
KSU25,pale sky,4,0,accept
KSU25,red skirt,25,0,accept
KSU25,thatched roof,3,0,accept
KSU25,trees,26,0,accept
KSU25,wear,10,14,reject
KSU25,well,11,12,reject
KSU25,well crane,3,0,accept
KSU25,white shirt,25,0,accept
KSU25,window,4,0,accept
KSU25,woman,27,0,accept
KSU25,wooden fence,30,0,accept
KSU25,wooden pole,25,0,accept
KSU25,wooden trough,27,0,accept
KSU25,young boy,33,0,accept
KSU3,Bridge,9,0,accept
KSU3,Bushes,3,0,accept
KSU3,Dirt road,7,2,accept
KSU3,Distant wood,3,0,accept
KSU3,Furman Semen,8,0,accept
KSU3,Horsecart,8,1,accept
KSU3,Sky with clouds,9,0,accept
KSU3,Thatched roof,3,0,accept
KSU3,Trees,9,0,accept
KSU3,Waterbody,8,0,accept
KSU3,White waterfowl,7,0,accept
KSU3,blue domes,27,0,accept
KSU3,chimney,3,0,accept
KSU3,church,28,0,accept
KSU3,frame,8,1,accept
KSU3,horse-drawn cart,22,0,accept
KSU3,houses,17,0,accept
KSU3,painting,11,2,accept
KSU3,pushkarivka,7,3,accept
KSU3,red skirt,19,0,accept
KSU3,river,19,0,accept
KSU3,rural landscape,23,0,accept
KSU3,swans,23,0,accept
KSU3,window,3,0,accept
KSU3,woman,17,0,accept
KSU3,wooden bridge,21,2,accept
KSU4,Black fur coat,11,0,accept
KSU4,Brown jacket,12,0,accept
KSU4,Taras Shevchenko,20,0,accept
KSU4,damage,13,1,accept
KSU4,dark coat,28,0,accept
KSU4,dark fur hat,31,0,accept
KSU4,elderly man,28,0,accept
KSU4,mustache,29,0,accept
KSU4,papakha,2,1,accept
KSU4,portrait,29,0,accept
KSU4,portrait of taras shevchenko,29,0,accept
KSU4,taras shevchenko,20,7,accept
KSU4,visible brushstrokes,4,6,reject
KSU4,white beard,3,15,reject
KSU5,Sky with clouds,13,2,accept
KSU5,Usyk Yakiv,13,0,accept
KSU5,Wetland,14,0,accept
KSU5,autumn,4,0,accept
KSU5,birch trees,41,0,accept
KSU5,canvas,3,19,reject
KSU5,forest scene,36,0,accept
KSU5,landscape,39,0,accept
KSU5,leaves,29,0,accept
KSU5,oil painting,12,11,accept
KSU5,pond,3,22,reject
KSU5,stream,10,19,reject
KSU6,A letter,9,0,accept
KSU6,Brownish background,7,0,accept
KSU6,Taras Shevchenko,11,0,accept
KSU6,bald man with a mustache,27,2,accept
KSU6,book,30,0,accept
KSU6,dark cloak draped over shoulder,27,4,accept
KSU6,inkwell,32,0,accept
KSU6,light-colored shirt with dark embroidery,29,0,accept
KSU6,moustache,7,0,accept
KSU6,oil on canvas,7,20,reject
KSU6,ornaments,8,1,accept
KSU6,portrait,34,0,accept
KSU6,portrait of taras shevchenko,32,0,accept
KSU6,quill pen,29,4,accept
KSU6,table,30,0,accept
KSU6,taras shevchenko,35,0,accept
KSU7,Khytko V.,13,1,accept
KSU7,Mustache,5,0,accept
KSU7,Taras Shevchenko,13,0,accept
KSU7,balding man,29,0,accept
KSU7,brown shirt,2,27,reject
KSU7,dark coat,38,0,accept
KSU7,poet,3,1,accept
KSU7,portrait,40,0,accept
KSU7,portrait of taras shevchenko,33,0,accept
KSU7,signs of age and wear,22,2,accept
KSU7,taras shevchenko,37,1,accept
KSU8,Lake,6,0,accept
KSU8,Landscape,8,0,accept
KSU8,Scenery,5,0,accept
KSU8,a village,21,4,accept
KSU8,body of water,27,0,accept
KSU8,dark red frame,24,0,accept
KSU8,evening sky with clouds,7,0,accept
KSU8,green fields,33,0,accept
KSU8,hay bales,24,0,accept
KSU8,haystacks,2,0,accept
KSU8,painting,28,0,accept
KSU8,reeds,8,1,accept
KSU8,signs of age and wear,17,0,accept
KSU8,small house,29,0,accept
KSU8,swans,29,0,accept
KSU8,thatched roof,30,0,accept
KSU8,trees,29,0,accept
KSU8,wooden fence,26,0,accept
KSU9,A soldier,9,1,accept
KSU9,Farewell,22,0,accept
KSU9,Flowers,10,0,accept
KSU9,Horserider,9,0,accept
KSU9,Lance,9,0,accept
KSU9,Sky with clouds,8,0,accept
KSU9,Text label,9,0,accept
KSU9,Thatched houses,9,0,accept
KSU9,Wicker fence,9,0,accept
KSU9,black hat,17,0,accept
KSU9,black horse,19,0,accept
KSU9,blue and red dress,12,1,accept
KSU9,crying woman,4,0,accept
KSU9,dark trousers,12,1,accept
KSU9,dirt road,3,0,accept
KSU9,light blue shirt,11,0,accept
KSU9,man in red coat,19,0,accept
KSU9,older man in light blue shirt,19,0,accept
KSU9,painting,17,0,accept
KSU9,red coat,5,4,accept
KSU9,red skirt and dark blue vest,9,0,accept
KSU9,rifle,13,1,accept
KSU9,rural scene,10,4,accept
KSU9,sword,8,4,accept
KSU9,visible signs of age and wear,9,0,accept
KSU9,woman in blue and red dress,15,2,accept
KSU9,yaryna,19,0,accept
KYD1241,Blue background,4,0,accept
KYD1241,Sacred Heart,13,0,accept
KYD1241,cracks,11,1,accept
KYD1241,cross,14,0,accept
KYD1241,dark robe,16,0,accept
KYD1241,golden halo,16,0,accept
KYD1241,golden heart,20,0,accept
KYD1241,icon,14,0,accept
KYD1241,jesus christ,23,0,accept
KYD1241,paint damage,16,0,accept
KYD1241,red garment,15,5,accept
KYD1241,red mark,2,11,reject
KYD1241,religious portrait,22,0,accept
KYD1241,visible signs of age and wear,17,0,accept
KYD1241,white bandage,4,11,reject
KYD1242,Golden halo,4,0,accept
KYD1242,Heart,16,0,accept
KYD1242,Light blue background,4,0,accept
KYD1242,The Immaculate Heart of Mary,11,0,accept
KYD1242,Virgin Mary,16,0,accept
KYD1242,bouquet,3,13,reject
KYD1242,flowers,26,0,accept
KYD1242,icon,20,0,accept
KYD1242,red garment,25,0,accept
KYD1242,religious portrait,17,0,accept
KYD1242,signs of age,14,0,accept
KYD1242,the virgin mary,19,2,accept
KYD1242,wear,2,8,reject
KYD1242,white lily,11,0,accept
KYD1242,white veil,7,3,accept
KYD1242,woman,16,0,accept
KYD1243,Angelic Habit,2,0,accept
KYD1243,Black,11,0,accept
KYD1243,Black background,4,0,accept
KYD1243,Great Schema,14,0,accept
KYD1243,Green,11,0,accept
KYD1243,Monastic Habit,8,2,accept
KYD1243,Monastic Habit (detail),11,3,accept
KYD1243,Monastic Vows,11,3,accept
KYD1243,Spear,4,0,accept
KYD1243,The cross,12,0,accept
KYD1243,damage,18,0,accept
KYD1243,dark wooden surface,18,0,accept
KYD1243,icon,25,0,accept
KYD1243,large faded green cross,21,0,accept
KYD1243,red outline,3,4,reject
KYD1243,signs of age,14,0,accept
KYD1243,the christ,14,6,accept
KYD1244,Constantine the Great,9,0,accept
KYD1244,Dark blue background,4,0,accept
KYD1244,St Helen,9,0,accept
KYD1244,The Exaltation of the Holy Cross,13,0,accept
KYD1244,The Exaltation of the Holy Cross of our Lord,10,0,accept
KYD1244,cracks,12,1,accept
KYD1244,crown,16,0,accept
KYD1244,dark robe,14,0,accept
KYD1244,green and red robe,16,0,accept
KYD1244,icon,23,0,accept
KYD1244,jesus christ,17,0,accept
KYD1244,large wooden cross,12,0,accept
KYD1244,man,26,0,accept
KYD1244,paint damage,16,0,accept
KYD1244,resurrection of christ,12,0,accept
KYD1244,staff,0,6,reject
KYD1244,the exaltation of the holly cross,26,4,accept
KYD1244,woman,17,0,accept
KYD1245,Dark red background,4,0,accept
KYD1245,Golden halo,4,0,accept
KYD1245,Nice,12,1,accept
KYD1245,Our Lady and Saint Nicholas,11,3,accept
KYD1245,book,5,3,accept
KYD1245,child,21,0,accept
KYD1245,cracks,14,0,accept
KYD1245,dark robe,14,0,accept
KYD1245,icon,15,0,accept
KYD1245,man,20,0,accept
KYD1245,our lady and saint michael,18,0,accept
KYD1245,paint damage,14,0,accept
KYD1245,red hood,22,0,accept
KYD1245,red patterned hat,15,0,accept
KYD1245,saint,23,0,accept
KYD1245,saint michael,17,4,accept
KYD1245,vertical format,12,4,accept
KYD1245,woman,15,0,accept
KYD1246,Cherubs heads,4,0,accept
KYD1246,Darck background,4,0,accept
KYD1246,baby,21,0,accept
KYD1246,child,27,0,accept
KYD1246,cross,25,1,accept
KYD1246,damaged,21,0,accept
KYD1246,flowers,27,0,accept
KYD1246,hood,24,0,accept
KYD1246,icon,25,0,accept
KYD1246,old,24,0,accept
KYD1246,plant,24,0,accept
KYD1246,red robe,27,0,accept
KYD1246,religious icon,24,0,accept
KYD1246,the blessed virgin with a baby,19,0,accept
KYD1246,woman,20,0,accept
KYD1246,wow,9,0,accept
KYD1247,bundle of grass,2,12,reject
KYD1247,cherry background,5,0,accept
KYD1247,cross earring,23,0,accept
KYD1247,damage,17,0,accept
KYD1247,dark hair,23,0,accept
KYD1247,green robe,15,0,accept
KYD1247,icon,15,0,accept
KYD1247,pearl necklace,16,2,accept
KYD1247,small golden cross,23,0,accept
KYD1247,st. paraskeva,21,0,accept
KYD1247,visible cracks,13,0,accept
KYD1247,woman,16,0,accept
KYD1247,yellow halo,20,0,accept
KYD1248,Foggy background,16,1,accept
KYD1248,birch trees,34,0,accept
KYD1248,dark clothing,34,0,accept
KYD1248,figure,35,0,accept
KYD1248,forest,29,0,accept
KYD1248,island,2,33,reject
KYD1248,landscape,39,0,accept
KYD1248,nature,3,0,accept
KYD1248,river,38,0,accept
KYD1248,vertical oil painting,21,4,accept
KYD1248,visible signs of age and wear,21,0,accept
KYD1249,Wicker fence,4,0,accept
KYD1249,Yarmolenko Panas,9,0,accept
KYD1249,black hat,25,0,accept
KYD1249,blue and red embroidered dress,17,2,accept
KYD1249,blue pants,23,0,accept
KYD1249,church,25,0,accept
KYD1249,crying woman,4,0,accept
KYD1249,damage,18,0,accept
KYD1249,dark horse,8,12,reject
KYD1249,flowers,4,0,accept
KYD1249,golden cross,4,0,accept
KYD1249,houses,23,0,accept
KYD1249,man in red coat,23,0,accept
KYD1249,man in white shirt,25,0,accept
KYD1249,painted folk art scene,25,0,accept
KYD1249,red coat,26,0,accept
KYD1249,rifle,20,0,accept
KYD1249,signs of age,18,0,accept
KYD1249,thatched roof,4,0,accept
KYD1249,white shirt,25,0,accept
KYD1249,window,4,0,accept
KYD1249,woman in blue and red embroidered dress,21,4,accept
KYD1249,yaryna,8,12,reject
KYD1250,Courtship by the Well,11,0,accept
KYD1250,Flirting,14,0,accept
KYD1250,Wicker fence,4,0,accept
KYD1250,birds,23,0,accept
KYD1250,black hat,28,0,accept
KYD1250,blue sky,4,0,accept
KYD1250,crane well,4,0,accept
KYD1250,flowers,4,0,accept
KYD1250,horse,23,0,accept
KYD1250,houses,4,0,accept
KYD1250,man,28,0,accept
KYD1250,near the well,33,0,accept
KYD1250,painted mural,4,5,reject
KYD1250,pond,26,0,accept
KYD1250,red and green decorations,26,0,accept
KYD1250,red and white dress,23,1,accept
KYD1250,red coat,24,0,accept
KYD1250,rural village scene,32,0,accept
KYD1250,swans,24,0,accept
KYD1250,thatched roofs,4,0,accept
KYD1250,water pump,7,10,reject
KYD1250,white horse,28,0,accept
KYD1250,white walls,4,0,accept
KYD1250,window,4,0,accept
KYD1250,woman,25,0,accept
KYD1251,boat,25,0,accept
KYD1251,boiling pot,4,0,accept
KYD1251,boys,25,0,accept
KYD1251,boys and girls,25,0,accept
KYD1251,cane,4,0,accept
KYD1251,child,18,1,accept
KYD1251,cooking,21,0,accept
KYD1251,depiction,18,0,accept
KYD1251,distant wood,4,0,accept
KYD1251,embroidered shirts,4,0,accept
KYD1251,fire,4,0,accept
KYD1251,girls,28,0,accept
KYD1251,grey fur hat,4,0,accept
KYD1251,jar,4,0,accept
KYD1251,kobza,4,0,accept
KYD1251,long pole,23,0,accept
KYD1251,lute,6,10,reject
KYD1251,man,21,0,accept
KYD1251,oar,4,0,accept
KYD1251,painting,25,0,accept
KYD1251,pond,4,0,accept
KYD1251,sky with flowers,4,0,accept
KYD1251,smoke,4,0,accept
KYD1251,some damage,18,0,accept
KYD1251,thatched hat,4,0,accept
KYD1251,traditional clothes,4,0,accept
KYD1251,traditional folk attire,27,0,accept
KYD1251,visible grain,2,18,reject
KYD1251,woman,19,0,accept
KYD1251,wreath,4,0,accept
KYD1252,a girl,28,0,accept
KYD1252,black boots,4,0,accept
KYD1252,blue dress,17,5,accept
KYD1252,blue sky with clouds,4,0,accept
KYD1252,damage,3,16,reject
KYD1252,dark blue vest,18,4,accept
KYD1252,embroidered collar,4,0,accept
KYD1252,floral headpiece,29,0,accept
KYD1252,girl,30,0,accept
KYD1252,multiple necklaces,28,0,accept
KYD1252,painted portrait,26,0,accept
KYD1252,pink frame,4,0,accept
KYD1252,portrait of a girl,28,0,accept
KYD1252,red patterns,26,0,accept
KYD1252,roses,26,0,accept
KYD1252,signs of aging,17,4,accept
KYD1252,traditional attire,28,0,accept
KYD1252,tree branches,4,0,accept
KYD1252,vase,16,5,accept
KYD1252,white sleeves,24,0,accept
KYD1252,woman,21,0,accept
KYD1252,wooden chair,24,0,accept
KYD1253,a girl,2,20,reject
KYD1253,church,24,0,accept
KYD1253,dock,3,15,reject
KYD1253,girl,2,20,reject
KYD1253,hill,8,13,reject
KYD1253,houses,30,0,accept
KYD1253,painting,27,0,accept
KYD1253,portrait of a girl,5,21,reject
KYD1253,signs of age,21,0,accept
KYD1253,sky,25,0,accept
KYD1253,small woden pier,5,0,accept
KYD1253,swans,30,0,accept
KYD1253,thatched roofs,4,0,accept
KYD1253,trees,29,0,accept
KYD1253,water,26,0,accept
KYD1253,wear,3,15,reject
KYD1253,wooden painting,4,15,reject
KYD1254,a boy and a girl,29,0,accept
KYD1254,black hat,33,0,accept
KYD1254,boy,32,0,accept
KYD1254,dark background,4,0,accept
KYD1254,dark jacket,24,0,accept
KYD1254,dark vest,21,4,accept
KYD1254,embroidery,24,0,accept
KYD1254,floral headband,32,0,accept
KYD1254,flowers,25,0,accept
KYD1254,girl,30,0,accept
KYD1254,heavy necklace of silver coins,19,0,accept
KYD1254,man,22,0,accept
KYD1254,painted portrait,30,0,accept
KYD1254,portrait of a boy and a girl,30,0,accept
KYD1254,red tie,25,0,accept
KYD1254,white blouse,23,0,accept
KYD1254,white shirt,27,0,accept
KYD1254,woman,22,0,accept
KYD1255,Ksonz Hryhorii,8,0,accept
KYD1255,Wicker fence,3,0,accept
KYD1255,an older woman,24,0,accept
KYD1255,birch trees,3,0,accept
KYD1255,blue floral embroidery,21,0,accept
KYD1255,blue skirt,23,0,accept
KYD1255,blue sky with clouds,3,0,accept
KYD1255,brown vest,17,0,accept
KYD1255,cow,25,0,accept
KYD1255,dark boots,23,0,accept
KYD1255,distant wood,3,0,accept
KYD1255,earring,3,0,accept
KYD1255,elderly woman,26,0,accept
KYD1255,portrait,25,0,accept
KYD1255,portrait of an older woman,25,0,accept
KYD1255,red ribbon,21,0,accept
KYD1255,river,3,0,accept
KYD1255,signs of age,17,1,accept
KYD1255,small white house,25,0,accept
KYD1255,wear,17,1,accept
KYD1255,white blouse,17,0,accept
KYD1255,woman,25,0,accept
