tag,europeana_id,upvotes,downvotes,recommendation,creator,type,creation_date,creation_time,event_number
virgin mary,HMT1,8,0,accept,,User,2026-03-27,10:41:18,4
virgin mary,HMT1,0,0,accept,,User,2026-03-27,10:41:18,5
wedding couple,HMT1,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
wedding couple,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
wedding couple,HMT1,3,2,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
wedding couple,HMT1,8,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
wedding couple,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
white lily,HMT1,1,0,accept,,User,2026-03-27,10:42:02,3
white lily,HMT1,8,0,accept,,User,2026-03-27,10:42:02,4
white lily,HMT1,0,0,accept,,User,2026-03-27,10:42:02,5
wooden frame,HMT1,4,0,accept,,User,2026-03-29,17:16:45,4
wooden frame,HMT1,0,0,accept,,User,2026-03-29,17:16:45,5
bearded man,HMT2,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
bearded man,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
bearded man,HMT2,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
bearded man,HMT2,8,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
bearded man,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
book,HMT2,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
book,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
book,HMT2,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
book,HMT2,9,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
book,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
carved frame,HMT2,6,0,accept,,User,2026-03-29,15:15:50,4
carved frame,HMT2,0,0,accept,,User,2026-03-29,15:15:50,5
clock face,HMT2,0,2,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
clock face,HMT2,0,0,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
clock face,HMT2,1,0,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
clock face,HMT2,0,0,unknown,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
clock face,HMT2,0,0,unknown,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
hole in background,HMT2,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
hole in background,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
hole in background,HMT2,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
hole in background,HMT2,8,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
hole in background,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
icon,HMT2,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
icon,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
icon,HMT2,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
icon,HMT2,9,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
icon,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
red crown,HMT2,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
red crown,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
red crown,HMT2,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
red crown,HMT2,9,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
red crown,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
red robes,HMT2,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
red robes,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
red robes,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
red robes,HMT2,9,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
red robes,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
saint nicholas,HMT2,1,0,accept,,User,2026-03-27,11:00:37,3
saint nicholas,HMT2,6,2,accept,,User,2026-03-27,11:00:37,4
saint nicholas,HMT2,0,0,accept,,User,2026-03-27,11:00:37,5
smaller figure on left,HMT2,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
smaller figure on left,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
smaller figure on left,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
smaller figure on left,HMT2,8,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
smaller figure on left,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
smaller figure on right,HMT2,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
smaller figure on right,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
smaller figure on right,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
smaller figure on right,HMT2,8,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
smaller figure on right,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
st. michael,HMT2,2,1,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
st. michael,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
st. michael,HMT2,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
st. michael,HMT2,8,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
st. michael,HMT2,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
a man,KSU1,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
a man,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
a man,KSU1,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
a man,KSU1,9,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
a man,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
blue sky with clouds,KSU1,5,1,accept,,User,2026-03-31,15:49:15,4
blue sky with clouds,KSU1,0,0,accept,,User,2026-03-31,15:49:15,5
brus hryhorii,KSU1,1,0,accept,,User,2026-03-27,10:03:03,3
brus hryhorii,KSU1,9,0,accept,,User,2026-03-27,10:03:03,4
brus hryhorii,KSU1,0,0,accept,,User,2026-03-27,10:03:03,5
cummerbund,KSU1,1,0,accept,,User,2026-03-27,10:26:52,3
cummerbund,KSU1,5,1,accept,,User,2026-03-27,10:26:52,4
cummerbund,KSU1,1,0,accept,,User,2026-03-27,10:26:52,5
damage on the right side,KSU1,0,2,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
damage on the right side,KSU1,0,0,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
damage on the right side,KSU1,0,2,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
damage on the right side,KSU1,2,5,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
damage on the right side,KSU1,0,0,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
dark cloak,KSU1,0,1,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
dark cloak,KSU1,0,0,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
dark cloak,KSU1,0,0,unknown,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
dark cloak,KSU1,10,1,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
dark cloak,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
green and checkered sash,KSU1,1,0,accept,,User,2026-03-27,10:57:02,3
green and checkered sash,KSU1,8,0,accept,,User,2026-03-27,10:57:02,4
green and checkered sash,KSU1,0,0,accept,,User,2026-03-27,10:57:02,5
green trousers,KSU1,0,2,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
green trousers,KSU1,0,0,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
green trousers,KSU1,0,2,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
green trousers,KSU1,4,4,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
green trousers,KSU1,0,0,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
hill,KSU1,1,0,accept,,User,2026-04-05,11:40:41,5
hillside,KSU1,5,0,accept,,User,2026-03-31,15:49:36,4
hillside,KSU1,0,0,accept,,User,2026-03-31,15:49:36,5
man,KSU1,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
man,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
man,KSU1,6,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
man,KSU1,13,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
man,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
path,KSU1,1,0,accept,,User,2026-03-27,10:55:57,3
path,KSU1,10,0,accept,,User,2026-03-27,10:55:57,4
path,KSU1,0,0,accept,,User,2026-03-27,10:55:57,5
portrait,KSU1,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
portrait,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
portrait,KSU1,4,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
portrait,KSU1,11,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
portrait,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
portrait of a man,KSU1,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
portrait of a man,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
portrait of a man,KSU1,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
portrait of a man,KSU1,9,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
portrait of a man,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
red ribbon,KSU1,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
red ribbon,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
red ribbon,KSU1,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
red ribbon,KSU1,11,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
red ribbon,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
trees,KSU1,1,0,accept,,User,2026-03-27,10:55:54,3
trees,KSU1,11,0,accept,,User,2026-03-27,10:55:54,4
trees,KSU1,0,0,accept,,User,2026-03-27,10:55:54,5
visible signs of age,KSU1,0,0,unknown,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
visible signs of age,KSU1,0,0,unknown,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
visible signs of age,KSU1,0,0,unknown,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
visible signs of age,KSU1,6,4,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
visible signs of age,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
vyshyvanka,KSU1,1,0,accept,,User,2026-04-05,11:40:24,5
white embroidered shirt,KSU1,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
white embroidered shirt,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
white embroidered shirt,KSU1,6,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
white embroidered shirt,KSU1,10,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
white embroidered shirt,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
white fur hat,KSU1,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
white fur hat,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
white fur hat,KSU1,5,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
white fur hat,KSU1,10,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
white fur hat,KSU1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
balding man,KSU10,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
balding man,KSU10,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
balding man,KSU10,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
balding man,KSU10,9,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
balding man,KSU10,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
blue coat,KSU10,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
blue coat,KSU10,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
blue coat,KSU10,6,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
blue coat,KSU10,13,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
blue coat,KSU10,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
blured blue background,KSU10,8,0,accept,,User,2026-03-29,17:50:09,4
blured blue background,KSU10,0,0,accept,,User,2026-03-29,17:50:09,5
brown tie,KSU10,7,0,accept,,User,2026-03-29,17:49:47,4
brown tie,KSU10,0,0,accept,,User,2026-03-29,17:49:47,5
buttons,KSU10,7,0,accept,,User,2026-03-29,17:51:25,4
buttons,KSU10,0,0,accept,,User,2026-03-29,17:51:25,5
grey mustache,KSU10,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
